|                                                      filename |                author | commits |  last date |
|                               scipy/optimize/minpack/hybrj1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/lmder.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/lmder1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/lmdif.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/lmdif1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/lmpar.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/lmstr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/lmstr1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/qform.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/optimize/minpack/qrfac.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/qrsolv.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/r1mpyq.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/r1updt.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/optimize/minpack/rwupdt.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/optimize/minpack2/dcsrch.f |        Jarrod Millman |       1 | 2007-08-21 |
|                              scipy/optimize/minpack2/dcstep.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/signal/C_bspline_util.c |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/signal/Z_bspline_util.c |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/signal/bspline_util.c |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/amos/dgamln.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/special/amos/zabs.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zacai.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zacon.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zairy.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zasyi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbesh.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbesi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbesj.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbesk.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbesy.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbinu.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbiry.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbknu.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbuni.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zbunk.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/special/amos/zdiv.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/special/amos/zexp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zkscl.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/special/amos/zlog.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zmlri.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                     scipy/special/amos/zmlt.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zrati.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zs1s2.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zseri.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zshch.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zsqrt.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zuchk.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zunhj.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zuni1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zuni2.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zunik.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zunk1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zunk2.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zuoik.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/amos/zwrsk.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/special/c_misc/besselpoly.c |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/algdiv.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/alnrel.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/apser.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/basym.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/bcorr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/betaln.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/bfrac.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/bgrat.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/bpser.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/bratio.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/brcmp1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/brcomp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/cdflib/bup.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfbet.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfbin.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfchi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/cdff.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdffnc.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfgam.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfnbn.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cdfnor.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/cdft.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumbet.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumbin.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumchi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/cumf.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumgam.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumnbn.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumnor.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/cumpoi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/cumt.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/devlpl.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/dinvnr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/dinvr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/cdflib/dt1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/dzror.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                    scipy/special/cdflib/erf.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/erfc1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/esum.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/exparg.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/fpser.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/gam1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/gaminv.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/gamln.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/gamln1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                             scipy/special/cdflib/gamma_fort.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/grat1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/gratio.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/gsumln.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/ipmpar.f |        Jarrod Millman |       1 | 2007-08-21 |
|                               scipy/special/cdflib/psi_fort.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/rcomp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/rexp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/cdflib/rlog.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                  scipy/special/cdflib/rlog1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/spmpar.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                 scipy/special/cdflib/stvaln.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/mach/d1mach.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/mach/i1mach.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                   scipy/special/mach/xerror.f |        Jarrod Millman |       1 | 2007-08-21 |
|                                scipy/stats/statlib/spearman.f |        Jarrod Millman |       1 | 2007-08-21 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/cstatn.f |                wnbell |       1 | 2008-02-27 |
|           scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/debug.h |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dsesrt.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dsortc.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dsortr.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dstatn.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dstats.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/dstqrb.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/ssesrt.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/ssortr.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/sstatn.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/sstats.f |                wnbell |       1 | 2008-02-27 |
|            scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/stat.h |                wnbell |       1 | 2008-02-27 |
|         scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/version.h |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/zsortc.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/SRC/zstatn.f |                wnbell |       1 | 2008-02-27 |
|          scipy/sparse/linalg/eigen/arpack/ARPACK/UTIL/cmout.f |                wnbell |       1 | 2008-02-27 |
